subtype	locus_gene_count	has_wzx	has_wzy	has_wzz	has_wzm	has_wzt	locus_cazy_total_hits	cazy_GH177_count	cazy_GH28_count	cazy_GT100_count	cazy_GT11_count	cazy_GT111_count	cazy_GT113_count	cazy_GT116_count	cazy_GT14_count	cazy_GT2_count	cazy_GT25_count	cazy_GT26_count	cazy_GT32_count	cazy_GT4_count	cazy_GT52_count	cazy_GT6_count	cazy_GT94_count	6dManHep2Ac	8eLeg5Ac7Ac	8eLeg5Ac7Ac8Ac	Col	Fruf	Fruf3Ac	Fuc	Fuc2Ac3Ac	Fuc3NAc	Fuc3NBuR3OH	Fuc4NBuR3OH	FucNAc	FucNAm	Fucf	Gal	Gal2Ac3Ac	GalA	GalA2Ac3Ac	GalA4Ac	GalA6DaThr	GalA6N	GalA6NLAla	GalNAc	GalNAc3Ac	GalNAc6Ac	GalNAcA	GalNAcA6N	GalNAcAN	Galf	Galf2Ac	Glc	Glc3Ac	Glc3SLac	Glc4RLac	Glc6Ac	GlcA	GlcA6LThr	GlcA6NGly	GlcNAc	GlcNAc4RLac	GlcNAc4SLac	GlcNAc6Ac	Gro	GroA	IdoA	Man	Man2Ac	Man2Ac6Ac	Man6Ac	ManNAc	ManNAc3NAcA	Neu5Ac	Neu5Ac7Ac9Ac	Pse	Pse5NBuR3OH	Pyr	Qui3NAc	Qui3NBuR3OH	Qui3NDalloThrAc	Qui3NLSerAc	Qui4NAc	Qui4NBuR3OH	Qui4NBuS3OH	Qui4NGlyAc	Qui4NLAlaBuS3OH	QuiNAc	Rha	Rha2Ac	Rha2Ac3RLac	Rha3Ac4Ac	Rha4NAc	RhaNAc	RhaNAc3NAc	RhaNAc3NAc4Ac	RhaNAc3NFo	Ribf	Ribitol	Tal6d	Tal6d2Ac	Xulf	ara4dHex	Leg5Ac7DAla	CBM4	CBM34	CBM48	CBM69	CBM91	CE1	CE4	CE8	CE9	CE11	CE14	GH1	GH2	GH3	GH4	GH8	GH9	GH15	GH19	GH23	GH24	GH25	GH28	GH32	GH33	GH36	GH37	GH38	GH42	GH53	GH58	GH63	GH65	GH73	GH77	GH88	GH94	GH102	GH103	GH104	GH105	GH108	GH109	GH127	GH153	GH177	GH179	GT1	GT2	GT4	GT5	GT6	GT8	GT9	GT11	GT14	GT19	GT20	GT25	GT26	GT28	GT30	GT32	GT35	GT38	GT44	GT51	GT52	GT56	GT73	GT83	GT84	GT94	GT99	GT100	GT107	GT111	GT112	GT113	GT116	PL8	PL14	PL22
O48	44.0	1.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	2.0	0.0	0.0	4.0	2.0	1.0	2.0	1.0	0.0	4.0	3.0	2.0	2.0	1.0	0.0	1.0	0.0	5.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0	0.0	10.0	4.0	1.0	0.0	3.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O49	44.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	2.0	0.0	0.0	4.0	3.0	1.0	2.0	1.0	1.0	3.0	1.0	2.0	2.0	1.0	0.0	0.0	0.0	5.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	8.0	4.0	1.0	0.0	2.0	4.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	1.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O50	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	2.0	0.0	0.0	4.0	2.0	1.0	2.0	1.0	0.0	4.0	3.0	2.0	2.0	1.0	0.0	0.0	1.0	8.0	3.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	3.0	0.0	10.0	2.0	1.0	0.0	3.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O51	42.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	2.0	0.0	0.0	3.0	3.0	1.0	2.0	1.0	0.0	3.0	3.0	2.0	3.0	1.0	0.0	1.0	0.0	8.0	3.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	11.0	4.0	1.0	0.0	3.0	3.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O52	40.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	2.0	0.0	0.0	3.0	2.0	1.0	1.0	1.0	0.0	2.0	3.0	2.0	3.0	1.0	0.0	1.0	0.0	4.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0	0.0	9.0	4.0	1.0	0.0	2.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O53	44.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	2.0	0.0	0.0	5.0	1.0	1.0	2.0	1.0	0.0	3.0	3.0	2.0	2.0	1.0	0.0	0.0	0.0	5.0	2.0	1.0	0.0	2.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	4.0	0.0	7.0	3.0	1.0	0.0	3.0	3.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
O56	40.0	1.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	2.0	0.0	0.0	4.0	2.0	1.0	2.0	1.0	0.0	2.0	3.0	2.0	2.0	1.0	0.0	0.0	0.0	4.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	9.0	5.0	1.0	0.0	3.0	4.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O58	27.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	2.0	2.0	1.0	0.0	7.0	2.0	1.0	2.0	1.0	1.0	4.0	3.0	2.0	2.0	1.0	0.0	1.0	0.0	6.0	3.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0	1.0	10.0	4.0	1.0	0.0	2.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O59	21.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	2.0	2.0	1.0	0.0	4.0	1.0	1.0	2.0	1.0	0.0	2.0	3.0	2.0	3.0	1.0	0.0	0.0	0.0	6.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	1.0	8.0	6.0	1.0	0.0	2.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O60	26.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	2.0	0.0	0.0	4.0	1.0	1.0	2.0	1.0	1.0	4.0	2.0	2.0	2.0	1.0	0.0	1.0	0.0	5.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	8.0	5.0	1.0	0.0	3.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O61	44.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	2.0	0.0	0.0	3.0	3.0	1.0	2.0	1.0	1.0	4.0	3.0	2.0	2.0	1.0	0.0	1.0	0.0	6.0	3.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0	1.0	9.0	3.0	1.0	0.0	2.0	4.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O62	44.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	2.0	0.0	0.0	4.0	3.0	1.0	2.0	1.0	0.0	3.0	3.0	2.0	2.0	1.0	0.0	0.0	0.0	6.0	4.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	12.0	6.0	1.0	0.0	3.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O63	47.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0	0.0	2.0	0.0	0.0	4.0	1.0	1.0	2.0	1.0	0.0	2.0	3.0	2.0	2.0	1.0	0.0	0.0	0.0	9.0	2.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	8.0	2.0	1.0	0.0	3.0	4.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
O64	50.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	2.0	0.0	0.0	4.0	2.0	1.0	2.0	1.0	0.0	5.0	3.0	3.0	2.0	1.0	1.0	0.0	0.0	4.0	3.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	8.0	3.0	1.0	0.0	3.0	4.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O65	47.0	1.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	2.0	0.0	0.0	3.0	2.0	1.0	2.0	1.0	0.0	3.0	3.0	2.0	3.0	1.0	0.0	1.0	0.0	6.0	2.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0	0.0	10.0	3.0	1.0	0.0	2.0	4.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O66	41.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	1.0	2.0	0.0	0.0	4.0	2.0	1.0	2.0	1.0	0.0	3.0	3.0	2.0	3.0	1.0	0.0	1.0	0.0	4.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	12.0	3.0	1.0	0.0	3.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O68	42.0	1.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	2.0	0.0	0.0	4.0	2.0	1.0	2.0	1.0	0.0	2.0	3.0	2.0	3.0	1.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	12.0	4.0	1.0	0.0	3.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O69	43.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	2.0	2.0	1.0	0.0	3.0	2.0	1.0	2.0	1.0	1.0	4.0	3.0	2.0	2.0	1.0	0.0	1.0	0.0	6.0	4.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	8.0	5.0	1.0	0.0	2.0	4.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	1.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O7	44.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	2.0	0.0	0.0	3.0	2.0	1.0	2.0	1.0	0.0	2.0	3.0	2.0	3.0	1.0	0.0	0.0	0.0	4.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	3.0	0.0	8.0	3.0	1.0	0.0	3.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O70	42.0	1.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	2.0	0.0	0.0	4.0	3.0	1.0	2.0	1.0	0.0	3.0	3.0	2.0	2.0	1.0	0.0	0.0	0.0	6.0	4.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	11.0	4.0	1.0	0.0	2.0	4.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O71	43.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	2.0	2.0	1.0	0.0	4.0	2.0	1.0	1.0	1.0	0.0	3.0	3.0	2.0	2.0	1.0	0.0	1.0	0.0	5.0	2.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	1.0	9.0	4.0	1.0	0.0	2.0	4.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	1.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
